Using GATK jar /scratch2/cropbio/stoecker/WGS_WGGC/WES_WGGC_2021_AG_Schoof/.snakemake/conda/c9dd5efd9313c76cc841b8b834a238c7/share/gatk4-4.1.4.1-1/gatk-package-4.1.4.1-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /scratch2/cropbio/stoecker/WGS_WGGC/WES_WGGC_2021_AG_Schoof/.snakemake/conda/c9dd5efd9313c76cc841b8b834a238c7/share/gatk4-4.1.4.1-1/gatk-package-4.1.4.1-local.jar ApplyBQSR -R resources/genome.fasta -I results/dedup/NA12878.bwa.sorted.bam --bqsr-recal-file results/recal/NA12878.bwa.grp -O results/recal/NA12878.bwa.sorted.bam
09:28:44.002 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/scratch2/cropbio/stoecker/WGS_WGGC/WES_WGGC_2021_AG_Schoof/.snakemake/conda/c9dd5efd9313c76cc841b8b834a238c7/share/gatk4-4.1.4.1-1/gatk-package-4.1.4.1-local.jar!/com/intel/gkl/native/libgkl_compression.so
Aug 13, 2021 9:28:44 AM shaded.cloud_nio.com.google.auth.oauth2.ComputeEngineCredentials runningOnComputeEngine
INFO: Failed to detect whether we are running on Google Compute Engine.
09:28:44.281 INFO  ApplyBQSR - ------------------------------------------------------------
09:28:44.282 INFO  ApplyBQSR - The Genome Analysis Toolkit (GATK) v4.1.4.1
09:28:44.282 INFO  ApplyBQSR - For support and documentation go to https://software.broadinstitute.org/gatk/
09:28:44.282 INFO  ApplyBQSR - Executing as stoecker@cs03 on Linux v5.4.0-66-generic amd64
09:28:44.282 INFO  ApplyBQSR - Java runtime: OpenJDK 64-Bit Server VM v1.8.0_282-b08
09:28:44.282 INFO  ApplyBQSR - Start Date/Time: August 13, 2021 9:28:43 AM UTC
09:28:44.282 INFO  ApplyBQSR - ------------------------------------------------------------
09:28:44.282 INFO  ApplyBQSR - ------------------------------------------------------------
09:28:44.283 INFO  ApplyBQSR - HTSJDK Version: 2.21.0
09:28:44.283 INFO  ApplyBQSR - Picard Version: 2.21.2
09:28:44.283 INFO  ApplyBQSR - HTSJDK Defaults.COMPRESSION_LEVEL : 2
09:28:44.283 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
09:28:44.283 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
09:28:44.283 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
09:28:44.283 INFO  ApplyBQSR - Deflater: IntelDeflater
09:28:44.283 INFO  ApplyBQSR - Inflater: IntelInflater
09:28:44.283 INFO  ApplyBQSR - GCS max retries/reopens: 20
09:28:44.283 INFO  ApplyBQSR - Requester pays: disabled
09:28:44.283 INFO  ApplyBQSR - Initializing engine
09:28:44.552 INFO  ApplyBQSR - Done initializing engine
09:28:44.571 INFO  ProgressMeter - Starting traversal
09:28:44.572 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
09:51:55.630 INFO  ProgressMeter -          10:70902650             23.2              84668000        3651954.1
09:52:05.644 INFO  ProgressMeter -          10:73135112             23.4              85284000        3652232.0
09:52:15.647 INFO  ProgressMeter -          10:75397662             23.5              85901000        3652579.5
09:52:25.649 INFO  ProgressMeter -          10:77732007             23.7              86519000        3652961.8
09:52:35.661 INFO  ProgressMeter -          10:80031662             23.9              87137000        3653315.8
09:52:45.671 INFO  ProgressMeter -          10:82400297             24.0              87753000        3653589.1
09:52:55.675 INFO  ProgressMeter -          10:84766303             24.2              88360000        3653496.7
09:53:05.685 INFO  ProgressMeter -          10:87079670             24.4              88975000        3653721.5
09:53:15.689 INFO  ProgressMeter -          10:89303374             24.5              89582000        3653634.4
09:53:25.697 INFO  ProgressMeter -          10:91551670             24.7              90186000        3653412.1
09:53:35.706 INFO  ProgressMeter -          10:93822791             24.9              90790000        3653192.8
09:53:45.706 INFO  ProgressMeter -          10:96069261             25.0              91396000        3653078.3
09:53:55.717 INFO  ProgressMeter -          10:98264544             25.2              91997000        3652740.1
09:54:05.726 INFO  ProgressMeter -         10:100508541             25.4              92599000        3652450.7
09:54:15.727 INFO  ProgressMeter -         10:102712980             25.5              93204000        3652301.7
09:54:25.738 INFO  ProgressMeter -         10:104955712             25.7              93813000        3652286.6
09:54:35.752 INFO  ProgressMeter -         10:107314721             25.9              94416000        3652032.6
09:54:45.752 INFO  ProgressMeter -         10:109637721             26.0              95019000        3651814.7
09:54:55.765 INFO  ProgressMeter -         10:111846703             26.2              95625000        3651683.8
09:55:05.774 INFO  ProgressMeter -         10:114132048             26.4              96232000        3651601.8
09:55:15.779 INFO  ProgressMeter -         10:116460155             26.5              96837000        3651454.5
09:55:25.790 INFO  ProgressMeter -         10:118769662             26.7              97444000        3651370.4
09:55:35.802 INFO  ProgressMeter -         10:121016578             26.9              98051000        3651287.3
09:55:45.808 INFO  ProgressMeter -         10:123301055             27.0              98654000        3651066.2
09:55:55.814 INFO  ProgressMeter -         10:125531400             27.2              99255000        3650776.5
09:56:05.829 INFO  ProgressMeter -         10:127889145             27.4              99871000        3651018.7
09:56:15.839 INFO  ProgressMeter -         10:130231159             27.5             100485000        3651196.3
09:56:25.847 INFO  ProgressMeter -         10:132484521             27.7             101092000        3651125.6
09:56:35.846 INFO  ProgressMeter -             11:85333             27.9             101699000        3651071.0
09:56:45.855 INFO  ProgressMeter -           11:2140952             28.0             102302000        3650854.7
09:56:55.860 INFO  ProgressMeter -           11:4388354             28.2             102912000        3650898.0
09:57:05.866 INFO  ProgressMeter -           11:6666577             28.4             103521000        3650905.5
09:57:15.868 INFO  ProgressMeter -           11:8984934             28.5             104146000        3651478.2
09:57:25.879 INFO  ProgressMeter -          11:11241167             28.7             104757000        3651539.2
09:57:35.885 INFO  ProgressMeter -          11:13671151             28.9             105396000        3652582.6
09:57:45.895 INFO  ProgressMeter -          11:16016059             29.0             106009000        3652705.4
09:57:55.900 INFO  ProgressMeter -          11:18271066             29.2             106613000        3652531.1
09:58:05.905 INFO  ProgressMeter -          11:20547445             29.4             107216000        3652324.7
09:58:15.907 INFO  ProgressMeter -          11:22963283             29.5             107835000        3652668.7
